Thickness,Hour,Cycle,Cavity,Hour Cycle,Hour Cavity
15,1,A,1,1 A,1 1
16,1,B,1,1 B,1 1
17,1,C,1,1 C,1 1
16,1,D,1,1 D,1 1
18,1,E,1,1 E,1 1
10,1,A,2,1 A,1 2
13,1,B,2,1 B,1 2
11,1,C,2,1 C,1 2
10,1,D,2,1 D,1 2
10,1,E,2,1 E,1 2
7,1,A,3,1 A,1 3
8,1,B,3,1 B,1 3
10,1,C,3,1 C,1 3
7,1,D,3,1 D,1 3
10,1,E,3,1 E,1 3
8,1,A,4,1 A,1 4
9,1,B,4,1 B,1 4
10,1,C,4,1 C,1 4
10,1,D,4,1 D,1 4
10,1,E,4,1 E,1 4
13,2,A,1,2 A,2 1
18,2,B,1,2 B,2 1
15,2,C,1,2 C,2 1
15,2,D,1,2 D,2 1
15,2,E,1,2 E,2 1
9,2,A,2,2 A,2 2
10,2,B,2,2 B,2 2
11,2,C,2,2 C,2 2
8,2,D,2,2 D,2 2
9,2,E,2,2 E,2 2
7,2,A,3,2 A,2 3
11,2,B,3,2 B,2 3
10,2,C,3,2 C,2 3
10,2,D,3,2 D,2 3
9,2,E,3,2 E,2 3
10,2,A,4,2 A,2 4
13,2,B,4,2 B,2 4
13,2,C,4,2 C,2 4
10,2,D,4,2 D,2 4
9,2,E,4,2 E,2 4
14,3,A,1,3 A,3 1
14,3,B,1,3 B,3 1
18,3,C,1,3 C,3 1
14,3,D,1,3 D,3 1
14,3,E,1,3 E,3 1
9,3,A,2,3 A,3 2
10,3,B,2,3 B,3 2
10,3,C,2,3 C,3 2
12,3,D,2,3 D,3 2
9,3,E,2,3 E,3 2
8,3,A,3,3 A,3 3
10,3,B,3,3 B,3 3
9,3,C,3,3 C,3 3
10,3,D,3,3 D,3 3
8,3,E,3,3 E,3 3
8,3,A,4,3 A,3 4
9,3,B,4,3 B,3 4
10,3,C,4,3 C,3 4
8,3,D,4,3 D,3 4
9,3,E,4,3 E,3 4
14,4,A,1,4 A,4 1
15,4,B,1,4 B,4 1
15,4,C,1,4 C,4 1
15,4,D,1,4 D,4 1
14,4,E,1,4 E,4 1
10,4,A,2,4 A,4 2
10,4,B,2,4 B,4 2
